Namespace(arch='ResNet18', workers=4, epochs=1000, warm_up_epochs=16, start_epoch=0, batch_size=256, lr=0.1, momentum=0.9, weight_decay=0.0002, num_classes=10, seed=0, dynamic_range=[0.8, 0.0], resume='', evaluate=False, save_dir='saveModel-00base', print_freq=200, save_every=200)
Epoch	train_loss	val_loss	train_acc	val_acc	
0	2.426	2.125	17.322	22.536
1	2.047	1.940	24.359	29.127
2	1.930	1.845	28.806	31.941
3	1.858	1.798	31.498	33.834
4	1.797	1.694	33.924	38.151
5	1.748	1.669	35.950	38.872
6	1.679	1.569	38.704	42.268
7	1.628	1.613	40.657	41.577
8	1.572	1.494	42.598	45.282
9	1.518	1.464	44.826	46.875
10	1.469	1.420	46.390	48.087
11	1.413	1.335	48.219	51.552
12	1.356	1.269	50.325	53.886
13	1.316	1.253	51.885	54.237
14	1.262	1.200	53.990	56.751
15	1.235	1.195	55.284	56.410
16	1.195	1.125	56.685	58.934
17	1.153	1.109	58.259	60.767
18	1.133	1.079	58.888	60.677
19	1.096	1.064	60.405	61.719
20	1.071	1.050	61.605	62.600
21	1.040	1.006	62.610	63.532
22	1.029	0.992	62.975	64.403
23	1.006	0.997	63.936	63.892
24	0.980	0.930	64.597	66.727
25	0.963	0.938	65.417	66.957
26	0.949	0.931	66.048	66.466
27	0.932	0.952	66.637	66.176
28	0.911	0.889	67.324	68.520
29	0.893	0.857	68.073	69.471
30	0.877	0.905	68.774	68.440
31	0.870	0.835	68.948	70.393
32	0.848	0.851	69.792	69.591
33	0.846	0.870	69.890	69.321
34	0.825	0.857	70.767	69.391
35	0.808	0.852	71.234	69.802
36	0.808	0.837	71.528	70.533
37	0.795	0.793	71.891	72.276
38	0.781	0.801	72.238	72.366
39	0.774	0.837	72.666	70.873
40	0.767	0.787	72.815	72.586
41	0.753	0.787	73.155	72.776
42	0.747	0.783	73.452	72.196
43	0.738	0.739	73.854	74.129
44	0.731	0.765	74.199	73.177
45	0.722	0.774	74.529	72.947
46	0.708	0.720	75.062	74.639
47	0.698	0.765	75.435	73.778
48	0.684	0.746	75.803	73.648
49	0.672	0.711	76.400	75.321
50	0.678	0.691	75.992	75.721
51	0.658	0.688	76.875	76.382
52	0.638	0.705	77.352	74.880
53	0.647	0.652	77.242	77.464
54	0.635	0.666	77.658	76.703
55	0.623	0.682	78.171	76.122
56	0.613	0.673	78.578	76.502
57	0.611	0.687	78.429	75.711
58	0.602	0.647	78.938	77.564
59	0.589	0.720	79.189	75.090
60	0.592	0.646	79.285	77.724
61	0.589	0.649	79.271	77.404
62	0.576	0.657	79.784	76.593
63	0.569	0.611	79.912	78.966
64	0.561	0.659	80.441	77.023
65	0.551	0.628	80.811	78.636
66	0.544	0.693	80.960	75.861
67	0.551	0.609	80.633	78.956
68	0.536	0.643	81.006	77.684
69	0.535	0.616	81.334	78.716
70	0.526	0.610	81.488	79.026
71	0.515	0.631	81.959	78.035
72	0.521	0.587	81.659	79.728
73	0.505	0.593	82.218	79.968
74	0.505	0.661	82.354	77.474
75	0.507	0.576	82.262	80.128
76	0.491	0.583	82.786	79.968
77	0.494	0.559	82.774	80.569
78	0.486	0.605	82.925	79.617
79	0.481	0.555	83.251	81.010
80	0.477	0.579	83.303	80.288
81	0.474	0.594	83.283	79.527
82	0.470	0.580	83.502	80.068
83	0.471	0.674	83.476	77.093
84	0.462	0.554	83.760	81.050
85	0.459	0.560	83.838	81.140
86	0.455	0.562	84.032	80.779
87	0.451	0.550	84.347	81.681
88	0.450	0.617	84.239	79.527
89	0.445	0.534	84.367	81.811
90	0.433	0.575	84.806	80.559
91	0.441	0.510	84.555	82.562
92	0.429	0.536	85.012	81.851
93	0.439	0.571	84.373	81.490
94	0.428	0.568	85.114	81.070
95	0.423	0.598	84.990	80.128
96	0.426	0.542	84.898	82.181
97	0.418	0.572	85.321	81.040
98	0.417	0.533	85.331	82.111
99	0.407	0.523	85.631	82.121
100	0.408	0.501	85.625	83.163
101	0.407	0.504	85.683	82.923
102	0.408	0.505	85.569	82.562
103	0.412	0.577	85.513	80.929
104	0.401	0.507	85.791	82.582
105	0.394	0.511	85.968	82.672
106	0.394	0.512	86.144	82.552
107	0.392	0.537	86.140	81.641
108	0.395	0.551	86.060	81.160
109	0.387	0.559	86.148	81.430
110	0.396	0.530	86.070	81.931
111	0.397	0.585	85.833	81.120
112	0.387	0.590	86.280	80.479
113	0.383	0.554	86.629	81.911
114	0.375	0.587	86.877	81.130
115	0.387	0.573	86.480	81.460
116	0.379	0.499	86.741	83.383
117	0.375	0.503	86.805	82.943
118	0.367	0.506	87.095	83.083
119	0.375	0.521	86.919	82.953
120	0.370	0.550	86.935	81.981
121	0.368	0.510	87.123	83.083
122	0.370	0.506	86.911	82.812
123	0.367	0.522	86.987	82.492
124	0.367	0.515	87.033	82.963
125	0.369	0.495	87.003	83.303
126	0.360	0.518	87.282	82.652
127	0.372	0.484	86.999	83.884
128	0.361	0.501	87.282	83.353
129	0.364	0.539	87.179	82.442
130	0.362	0.495	87.224	83.233
131	0.352	0.508	87.500	83.173
132	0.357	0.497	87.406	83.363
133	0.371	0.522	87.065	83.203
134	0.361	0.508	87.111	83.133
135	0.348	0.597	87.764	80.489
136	0.352	0.507	87.682	83.233
137	0.362	0.503	87.272	83.313
138	0.359	0.503	87.314	83.724
139	0.356	0.508	87.456	83.213
140	0.367	0.528	87.141	82.422
141	0.360	0.525	87.414	82.552
142	0.352	0.529	87.556	82.853
143	0.351	0.571	87.634	81.791
144	0.347	0.500	87.933	83.123
145	0.352	0.584	87.512	80.629
146	0.359	0.581	87.260	80.970
147	0.355	0.512	87.460	83.313
148	0.349	0.544	87.716	81.881
149	0.347	0.511	87.592	82.923
150	0.339	0.530	88.173	82.672
151	0.344	0.500	87.955	83.283
152	0.349	0.472	87.827	83.974
153	0.354	0.712	87.448	77.594
154	0.363	0.525	87.208	82.572
155	0.352	0.536	87.450	82.502
156	0.356	0.533	87.540	82.622
157	0.350	0.525	87.518	83.013
158	0.349	0.616	87.736	80.549
159	0.345	0.482	87.865	83.884
160	0.354	0.571	87.430	81.130
161	0.350	0.573	87.758	80.849
162	0.352	0.512	87.768	83.083
163	0.352	0.552	87.464	82.222
164	0.347	0.486	87.738	83.614
165	0.346	0.541	87.738	81.961
166	0.343	0.610	87.887	80.629
167	0.337	0.521	88.129	83.113
168	0.348	0.542	87.800	81.941
169	0.353	0.486	87.550	83.784
170	0.342	0.493	87.995	83.203
171	0.349	0.500	87.837	83.283
172	0.345	0.578	87.861	80.839
173	0.342	0.483	87.979	84.075
174	0.349	0.476	87.720	84.175
175	0.348	0.526	87.808	82.362
176	0.346	0.492	87.748	83.904
177	0.346	0.483	87.654	84.075
178	0.348	0.505	87.786	83.213
179	0.346	0.560	87.766	81.380
180	0.347	0.658	87.746	79.117
181	0.353	0.525	87.650	82.742
182	0.340	0.614	87.951	80.599
183	0.345	0.536	87.937	82.131
184	0.348	0.510	87.624	83.393
185	0.342	0.539	87.937	82.522
186	0.336	0.507	88.193	83.313
187	0.341	0.585	87.905	81.200
188	0.341	0.477	87.929	84.415
189	0.336	0.497	88.163	83.734
190	0.340	0.571	87.921	81.621
191	0.331	0.485	88.329	83.954
192	0.335	0.523	88.137	82.833
193	0.335	0.458	88.205	84.595
194	0.328	0.505	88.480	83.433
195	0.335	0.524	88.187	82.782
196	0.354	0.504	87.578	83.373
197	0.341	0.548	87.979	81.741
198	0.328	0.518	88.389	83.123
199	0.327	0.515	88.492	82.973
200	0.337	0.576	88.103	81.240
201	0.340	0.489	87.969	83.964
202	0.341	0.550	87.889	82.422
203	0.333	0.513	88.197	83.293
204	0.338	0.534	88.051	83.373
205	0.337	0.570	88.123	81.931
206	0.327	0.522	88.405	82.662
207	0.329	0.529	88.508	82.893
208	0.345	0.578	87.774	81.440
209	0.329	0.521	88.315	82.141
210	0.323	0.502	88.450	83.604
211	0.333	0.516	88.091	82.913
212	0.334	0.522	88.243	82.782
213	0.336	0.527	88.243	82.061
214	0.327	0.482	88.385	83.844
215	0.337	0.485	88.037	83.644
216	0.325	0.485	88.780	84.205
217	0.325	0.542	88.502	82.652
218	0.329	0.501	88.181	83.193
219	0.320	0.559	88.766	81.971
220	0.330	0.490	88.482	83.544
221	0.324	0.545	88.672	81.971
222	0.326	0.501	88.532	83.093
223	0.324	0.497	88.918	83.494
224	0.318	0.484	88.742	83.423
225	0.315	0.498	88.812	83.814
226	0.329	0.512	88.381	83.263
227	0.322	0.468	88.668	84.065
228	0.314	0.510	88.796	83.333
229	0.317	0.542	89.024	82.462
230	0.325	0.531	88.600	82.672
