Namespace(arch='resnet20_1w1a', workers=4, epochs=1000, warm_up_epochs=16, start_epoch=0, batch_size=256, lr=0.1, momentum=0.9, weight_decay=0.0001, num_classes=10, seed=0, dynamic_range=[0.8, 0.0], resume='', evaluate=False, Use_tSNE=True, save_dir='saveModel-006', print_freq=200, save_every=200)
Epoch	train_loss	val_loss	train_acc	val_acc	
0	2.021	1.858	26.128	31.901
1	1.749	1.647	35.417	39.844
2	1.617	1.543	40.627	43.229
3	1.508	1.429	44.896	47.606
4	1.427	1.440	48.039	46.014
5	1.363	1.359	50.469	51.142
6	1.318	1.297	52.428	52.895
7	1.263	1.161	54.429	57.923
8	1.198	1.273	57.196	55.709
9	1.153	1.232	58.820	57.272
10	1.110	1.044	60.162	62.400
11	1.073	1.116	61.851	60.567
12	1.041	1.071	63.111	61.629
13	1.022	1.060	63.692	63.141
14	0.998	1.016	64.531	64.293
15	0.970	1.158	65.511	61.478
16	0.950	1.032	66.086	64.814
17	0.929	0.956	67.111	66.947
18	0.906	1.007	67.782	66.677
19	0.885	0.971	68.602	67.147
20	0.862	0.978	69.261	66.446
21	0.847	0.924	69.912	69.411
22	0.838	1.214	70.076	62.650
23	0.827	0.895	70.659	69.151
24	0.811	0.926	71.168	69.030
25	0.796	0.937	71.677	68.580
26	0.784	0.921	72.348	69.471
27	0.779	0.992	72.262	67.438
28	0.771	0.984	72.790	67.628
29	0.759	0.832	73.087	71.064
30	0.751	0.814	73.369	72.115
31	0.740	1.099	73.710	65.615
32	0.733	0.805	74.034	72.476
33	0.721	0.776	74.545	73.217
34	0.710	0.816	74.976	71.975
35	0.710	0.955	74.872	68.810
36	0.700	0.735	75.611	74.860
37	0.693	0.903	75.401	70.663
38	0.690	0.775	75.789	73.077
39	0.683	0.773	75.936	73.427
40	0.670	0.753	76.504	73.668
41	0.673	0.747	76.328	74.209
42	0.664	0.713	76.522	75.250
43	0.655	0.855	76.967	70.463
44	0.647	0.933	77.175	69.862
45	0.637	0.761	77.790	74.079
46	0.636	0.680	77.716	76.703
47	0.630	0.789	77.955	73.217
48	0.625	0.679	78.089	76.593
49	0.618	0.920	78.297	70.112
50	0.616	0.666	78.538	76.763
51	0.605	0.820	78.928	72.877
52	0.604	0.677	78.940	76.783
53	0.604	0.730	78.850	74.179
54	0.599	0.773	79.083	73.898
55	0.600	0.689	78.966	76.202
56	0.592	0.689	79.215	76.753
57	0.593	0.724	79.233	75.721
58	0.585	0.676	79.429	76.603
59	0.585	0.678	79.511	76.993
60	0.581	0.726	79.750	75.982
61	0.584	0.680	79.545	76.973
62	0.572	0.616	79.978	78.966
63	0.568	0.644	80.092	77.855
64	0.566	0.669	80.242	77.113
65	0.564	0.669	80.298	77.284
66	0.559	0.712	80.152	76.142
67	0.563	0.816	80.333	72.556
68	0.554	0.643	80.687	77.434
69	0.553	0.756	80.711	75.341
70	0.553	0.978	80.811	68.059
71	0.549	0.636	80.891	78.325
72	0.552	0.787	80.807	74.069
73	0.552	0.614	80.681	78.516
74	0.541	0.661	81.030	77.364
75	0.549	0.694	80.813	76.372
76	0.548	0.693	80.885	76.232
77	0.551	0.692	80.631	75.431
78	0.537	0.591	81.290	79.858
79	0.538	0.645	81.046	77.975
80	0.538	0.657	81.248	77.133
81	0.539	0.746	81.142	75.311
82	0.537	0.681	81.140	77.524
83	0.541	0.807	81.090	73.598
84	0.536	0.684	81.374	76.963
85	0.535	0.834	81.276	72.887
86	0.527	0.626	81.659	78.015
87	0.534	0.671	81.641	77.414
88	0.531	0.624	81.418	79.257
89	0.530	0.884	81.675	72.977
90	0.528	0.624	81.478	79.267
91	0.524	0.660	81.803	77.274
92	0.525	0.615	81.851	79.157
93	0.526	0.648	81.685	77.955
94	0.524	0.636	81.797	77.875
95	0.528	0.650	81.839	77.534
96	0.521	0.649	81.973	77.604
97	0.526	0.593	81.528	79.748
98	0.521	0.724	81.929	75.140
99	0.517	0.709	81.999	77.464
100	0.525	0.656	81.737	77.664
101	0.524	0.691	81.759	76.092
102	0.511	0.811	82.133	74.399
103	0.518	0.638	82.214	78.005
104	0.516	0.628	82.135	78.205
105	0.518	0.736	82.097	76.022
106	0.521	0.634	81.883	78.065
107	0.512	0.655	81.953	77.654
108	0.517	0.687	81.981	76.763
109	0.509	0.652	82.240	77.895
110	0.505	0.728	82.422	75.571
111	0.512	0.641	82.117	78.205
112	0.506	0.600	82.402	79.708
113	0.507	0.904	82.258	71.765
114	0.505	0.702	82.352	76.202
115	0.504	0.649	82.452	77.754
116	0.497	0.725	82.654	76.162
117	0.505	0.596	82.115	79.637
118	0.497	0.651	82.668	77.754
119	0.502	0.650	82.492	77.274
120	0.508	0.664	82.268	78.035
121	0.501	0.579	82.426	80.559
122	0.500	0.719	82.582	76.793
123	0.504	0.681	82.384	77.524
124	0.500	0.623	82.434	78.696
125	0.497	0.592	82.640	80.138
126	0.500	0.664	82.738	77.374
127	0.496	0.595	82.708	79.317
128	0.497	0.798	82.508	72.847
129	0.500	0.647	82.500	77.955
130	0.494	0.631	82.863	78.896
131	0.495	0.673	82.871	77.354
132	0.497	0.604	82.782	78.546
133	0.493	0.645	82.889	79.437
134	0.490	0.763	82.881	75.020
135	0.493	0.594	82.829	79.808
136	0.495	0.640	82.578	78.275
137	0.499	0.659	82.706	77.214
138	0.496	0.592	82.614	80.308
139	0.492	0.673	82.911	77.875
140	0.490	0.702	82.941	75.891
141	0.490	0.656	83.005	78.766
142	0.491	0.608	82.901	79.107
143	0.491	0.785	82.851	73.828
144	0.488	0.643	83.103	78.075
145	0.486	0.629	83.017	78.956
146	0.494	0.670	82.736	77.324
147	0.488	0.695	82.935	76.332
148	0.487	0.612	82.975	78.746
149	0.489	0.575	82.923	80.899
150	0.483	0.556	83.297	80.719
151	0.482	0.688	83.271	77.324
152	0.485	0.650	83.095	77.915
153	0.484	0.660	83.069	77.815
154	0.482	0.718	83.339	76.723
155	0.480	0.683	83.319	77.514
156	0.481	0.900	83.219	73.167
157	0.479	0.654	83.293	78.546
158	0.482	0.706	83.151	76.382
159	0.480	0.534	83.225	81.711
160	0.480	0.574	83.139	79.898
161	0.483	0.616	83.211	78.616
162	0.484	0.600	83.117	80.148
163	0.482	0.726	83.289	76.032
164	0.482	0.597	83.145	79.377
165	0.474	0.609	83.429	79.247
166	0.481	0.661	83.101	77.133
167	0.474	0.781	83.616	73.758
168	0.477	0.655	83.586	79.026
169	0.477	0.774	83.389	74.199
170	0.474	0.823	83.530	72.997
171	0.479	0.595	83.259	80.148
172	0.478	0.667	83.436	77.334
173	0.475	0.631	83.389	79.738
174	0.480	0.707	83.448	76.733
175	0.478	0.632	83.171	78.486
176	0.481	0.748	83.335	75.481
177	0.474	0.786	83.365	75.040
178	0.471	0.633	83.612	77.845
179	0.471	0.610	83.690	79.698
180	0.469	0.624	83.756	78.586
181	0.469	0.637	83.784	78.906
182	0.481	0.564	83.081	80.889
183	0.475	0.643	83.241	78.055
184	0.468	0.571	83.544	80.639
185	0.468	0.589	83.742	80.689
186	0.473	0.662	83.724	78.606
187	0.461	0.673	83.902	77.224
188	0.468	0.652	83.552	78.686
189	0.465	0.590	83.724	79.587
190	0.471	0.790	83.472	75.280
191	0.469	0.907	83.624	71.815
192	0.468	0.722	83.712	76.102
193	0.468	0.666	83.756	78.466
194	0.470	0.595	83.554	80.128
195	0.466	0.609	83.730	79.227
196	0.468	0.755	83.668	74.780
197	0.469	0.705	83.810	76.402
198	0.461	0.590	84.018	79.848
199	0.466	0.707	83.660	76.142
200	0.469	0.584	83.554	80.399
201	0.455	0.960	84.197	69.952
202	0.461	0.755	83.950	75.641
203	0.463	0.634	83.772	77.965
204	0.464	0.568	83.860	80.940
205	0.465	0.685	83.792	76.923
206	0.460	0.581	84.024	80.349
207	0.461	0.628	84.065	78.896
208	0.460	0.724	83.944	77.634
209	0.459	0.629	83.912	78.636
210	0.459	0.838	83.930	73.067
211	0.461	0.582	83.924	80.188
212	0.460	0.553	84.101	80.128
213	0.459	0.596	83.960	79.828
214	0.459	0.646	83.990	77.274
215	0.454	0.779	84.079	75.641
216	0.461	0.681	83.798	77.925
217	0.460	0.587	84.024	79.768
218	0.455	0.638	84.169	79.056
219	0.460	0.744	83.922	74.950
220	0.455	0.673	84.233	76.983
221	0.452	0.613	84.369	79.778
222	0.460	0.605	83.938	79.998
223	0.456	0.642	84.075	77.825
224	0.453	0.699	84.243	76.252
225	0.456	0.598	83.970	79.768
226	0.451	0.650	84.365	78.335
227	0.448	0.683	84.357	78.155
228	0.454	0.755	84.167	74.249
229	0.454	0.580	84.103	80.208
230	0.455	0.749	84.026	75.581
231	0.449	0.798	84.453	74.569
232	0.454	0.668	84.020	78.215
233	0.452	0.710	84.267	76.693
234	0.450	0.637	84.315	78.616
235	0.452	0.637	84.427	78.415
236	0.454	0.652	84.135	77.764
237	0.452	0.641	84.311	78.866
238	0.449	0.733	84.473	74.669
239	0.444	0.651	84.732	78.305
240	0.449	0.732	84.255	75.901
241	0.446	0.597	84.581	80.028
242	0.455	0.881	84.105	70.363
243	0.447	0.618	84.477	79.597
244	0.446	0.646	84.341	77.895
245	0.444	0.683	84.611	76.743
246	0.440	0.663	84.587	77.624
247	0.450	0.538	84.331	81.721
248	0.437	0.579	84.778	80.449
249	0.440	0.609	84.659	80.198
250	0.446	0.629	84.501	78.906
251	0.442	0.874	84.535	73.618
252	0.438	0.609	84.599	79.437
253	0.437	0.723	84.814	76.893
254	0.442	0.540	84.569	81.260
255	0.440	0.581	84.655	80.178
256	0.441	0.775	84.587	73.858
257	0.437	0.733	84.954	77.264
258	0.445	0.578	84.451	80.419
259	0.443	0.650	84.549	78.375
260	0.445	0.594	84.553	79.497
261	0.440	0.592	84.645	79.647
262	0.439	0.715	84.730	76.703
263	0.435	0.609	84.958	79.698
264	0.438	0.654	84.663	78.896
265	0.440	0.760	84.681	75.220
266	0.444	0.575	84.557	80.278
267	0.433	0.570	84.998	80.929
268	0.440	0.797	84.702	74.750
269	0.433	0.577	84.888	80.729
270	0.442	0.753	84.497	76.142
271	0.428	0.647	85.042	77.634
272	0.435	0.577	84.828	80.929
273	0.429	0.579	84.998	80.339
274	0.431	0.636	84.914	77.855
275	0.435	0.551	85.040	81.250
276	0.433	0.566	85.014	80.419
277	0.431	0.612	85.022	79.968
278	0.425	0.564	85.220	80.669
279	0.433	0.603	84.904	79.557
280	0.429	0.653	84.908	78.095
281	0.430	0.607	84.988	79.277
282	0.431	0.659	85.018	78.676
283	0.430	0.566	84.994	80.980
284	0.428	0.675	85.084	76.853
285	0.432	0.593	84.964	79.387
286	0.429	0.724	85.066	76.492
287	0.429	0.603	85.110	79.677
288	0.425	0.833	85.156	74.239
289	0.429	0.555	85.010	81.340
290	0.426	0.766	85.337	76.062
291	0.426	0.692	84.922	77.754
292	0.428	0.600	84.930	80.208
293	0.422	1.041	85.222	68.770
294	0.424	0.565	85.226	81.180
295	0.423	0.612	85.172	79.948
296	0.426	0.714	85.210	78.055
297	0.423	0.752	85.178	76.032
298	0.427	0.545	85.044	81.991
299	0.424	1.015	85.252	70.964
300	0.419	0.517	85.321	82.702
301	0.421	0.750	85.405	77.364
302	0.415	0.607	85.521	79.557
303	0.418	0.697	85.359	78.696
304	0.421	0.661	85.226	78.496
305	0.420	0.695	85.419	76.723
306	0.415	0.585	85.274	80.639
307	0.415	0.567	85.433	80.749
308	0.420	0.759	85.363	76.072
309	0.422	0.725	85.226	77.053
310	0.418	0.579	85.325	80.469
311	0.414	0.601	85.507	79.487
312	0.418	0.563	85.355	81.220
313	0.420	0.631	85.240	78.456
314	0.416	0.769	85.565	76.292
315	0.415	0.720	85.377	76.532
316	0.412	0.557	85.657	81.300
317	0.417	0.575	85.339	80.990
318	0.412	0.658	85.683	78.255
319	0.415	0.597	85.585	79.898
320	0.411	0.750	85.703	76.132
321	0.410	0.563	85.529	81.200
322	0.408	0.584	85.807	80.679
323	0.412	0.599	85.503	80.018
324	0.411	0.565	85.587	80.859
325	0.412	0.545	85.487	81.741
326	0.416	0.565	85.651	81.080
327	0.405	0.632	85.954	79.217
328	0.403	0.530	85.893	82.161
329	0.405	0.540	85.917	82.181
330	0.409	0.553	85.601	81.571
331	0.408	0.644	85.619	78.035
332	0.409	0.527	85.771	82.171
333	0.404	0.609	85.827	80.899
334	0.405	0.629	85.763	79.748
335	0.410	1.055	85.707	69.231
336	0.411	0.518	85.715	82.472
337	0.405	0.537	85.769	81.561
338	0.410	0.549	85.623	81.571
339	0.408	0.575	85.875	80.950
340	0.410	0.581	85.765	80.429
341	0.406	0.558	85.881	81.310
342	0.401	0.554	85.950	81.711
343	0.409	0.550	85.673	81.460
344	0.403	0.643	85.891	79.036
345	0.401	0.525	85.958	82.312
346	0.403	0.632	85.729	79.417
347	0.399	0.536	85.982	82.051
348	0.402	0.571	86.036	81.010
349	0.401	0.566	85.857	81.120
350	0.401	0.556	85.843	81.440
351	0.401	0.614	86.004	79.537
352	0.405	0.741	86.026	76.422
353	0.402	0.631	85.789	79.758
354	0.399	0.718	86.168	77.344
355	0.391	0.620	86.212	80.168
356	0.401	0.588	85.946	81.050
357	0.395	0.549	86.240	81.480
358	0.394	0.556	86.164	81.150
359	0.398	0.723	85.992	76.412
360	0.401	0.544	85.849	82.041
361	0.395	0.675	86.074	77.875
362	0.398	0.587	86.172	80.208
363	0.397	0.593	86.178	79.938
364	0.399	0.510	86.124	82.692
365	0.394	0.607	86.174	80.138
366	0.393	0.583	86.224	81.160
367	0.399	0.716	85.988	76.893
368	0.397	0.572	85.911	80.799
369	0.394	0.657	86.352	79.317
370	0.395	0.528	86.354	82.091
371	0.401	0.546	86.020	81.310
372	0.390	0.528	86.186	82.342
373	0.394	0.626	86.166	79.457
374	0.395	0.539	86.226	81.831
375	0.390	0.557	86.300	81.220
376	0.396	0.489	86.092	83.484
377	0.398	0.576	86.056	80.719
378	0.387	0.601	86.346	79.998
379	0.392	0.594	86.398	80.359
380	0.397	0.512	86.228	82.903
381	0.392	0.500	86.358	83.033
382	0.390	0.544	86.504	82.262
383	0.390	0.531	86.410	82.732
384	0.388	0.571	86.496	81.180
385	0.389	0.516	86.288	82.492
386	0.387	0.603	86.398	80.098
387	0.387	0.523	86.330	81.951
388	0.393	0.681	86.096	77.214
389	0.386	0.614	86.508	79.708
390	0.385	0.671	86.532	77.935
391	0.385	0.546	86.562	82.292
392	0.385	1.314	86.454	65.294
393	0.385	0.849	86.623	73.498
394	0.387	0.689	86.428	77.434
395	0.386	0.633	86.550	79.107
396	0.381	0.840	86.520	71.885
397	0.391	0.590	86.172	80.349
398	0.386	0.556	86.318	81.320
399	0.388	0.539	86.482	81.951
400	0.383	0.518	86.701	83.043
401	0.381	0.701	86.593	77.845
402	0.383	0.605	86.478	80.449
403	0.379	0.493	86.621	83.504
404	0.385	0.609	86.587	80.639
405	0.377	0.547	86.773	81.671
406	0.379	0.609	86.763	79.878
407	0.379	0.615	86.687	79.117
408	0.382	0.527	86.593	82.632
409	0.375	0.530	86.735	81.801
410	0.380	0.738	86.717	75.501
411	0.379	0.573	86.861	80.849
412	0.380	0.505	86.558	83.383
413	0.381	0.488	86.639	83.714
414	0.377	0.579	86.847	80.769
415	0.373	0.578	87.041	80.629
416	0.379	0.724	86.607	78.265
417	0.378	0.552	86.795	81.991
418	0.372	0.481	87.081	83.494
419	0.369	0.595	87.119	80.248
420	0.375	0.500	86.967	83.644
421	0.373	0.532	86.867	82.492
422	0.379	0.595	86.791	81.340
423	0.376	0.668	86.939	78.265
424	0.377	0.577	86.747	81.070
425	0.379	0.604	86.837	80.319
426	0.371	0.536	86.845	82.121
427	0.374	0.651	86.847	79.467
428	0.373	0.742	87.053	76.442
429	0.374	0.500	86.945	83.223
430	0.374	0.533	86.937	81.621
431	0.377	0.806	86.831	75.471
432	0.380	0.484	86.647	83.674
433	0.370	0.949	86.947	73.518
434	0.378	0.582	86.847	81.190
435	0.375	0.532	86.827	82.121
436	0.374	0.501	86.867	82.823
437	0.369	0.537	87.204	82.282
438	0.370	0.527	86.905	81.520
439	0.365	0.566	87.147	81.360
440	0.372	0.583	87.013	80.789
441	0.368	0.550	87.093	82.282
442	0.372	0.578	87.027	81.100
443	0.372	0.562	86.997	81.200
444	0.371	0.671	86.881	78.876
445	0.368	0.554	87.023	81.100
446	0.370	0.626	86.987	79.567
447	0.368	0.521	87.081	82.772
448	0.366	0.517	86.911	82.121
449	0.371	0.566	87.023	80.889
450	0.372	0.565	86.957	82.442
451	0.369	0.571	87.055	80.819
452	0.367	0.517	87.069	82.782
453	0.365	0.469	87.043	84.095
454	0.362	0.584	87.320	81.270
455	0.368	0.564	87.256	81.370
456	0.362	0.540	87.352	81.801
457	0.366	0.562	87.101	81.390
458	0.360	0.520	87.282	82.262
459	0.368	0.617	87.163	79.367
460	0.369	0.556	87.023	82.011
461	0.365	0.486	87.246	83.423
462	0.361	0.503	87.264	83.303
463	0.364	0.547	87.302	81.440
464	0.366	0.551	87.147	82.061
465	0.361	0.692	87.232	78.556
466	0.366	0.576	87.101	81.160
467	0.360	0.557	87.380	81.480
468	0.366	0.480	87.003	83.624
469	0.358	0.601	87.416	80.238
470	0.356	0.708	87.412	78.025
471	0.358	0.564	87.424	81.220
472	0.358	0.599	87.374	80.719
473	0.364	0.598	87.342	79.838
