Namespace(arch='resnet20_1w1a', workers=4, epochs=1000, warm_up_epochs=16, start_epoch=0, batch_size=256, lr=0.1, momentum=0.9, weight_decay=0.0001, num_classes=10, seed=0, dynamic_range=[0.8, 0.0], resume='', evaluate=False, save_dir='saveModel-008', print_freq=200, save_every=200)
Epoch	train_loss	val_loss	train_acc	val_acc	
0	2.002	1.798	27.141	32.051
1	1.734	1.647	35.869	38.091
2	1.596	1.541	41.226	43.119
3	1.514	1.549	44.405	42.218
4	1.434	1.422	48.181	47.486
5	1.358	1.268	50.699	54.217
6	1.286	1.203	53.798	57.712
7	1.220	1.308	56.380	53.305
8	1.159	1.248	58.882	57.362
9	1.121	1.084	60.178	61.258
10	1.089	1.204	61.320	58.704
11	1.052	1.177	62.624	59.906
12	1.013	1.076	63.964	61.629
13	0.999	1.086	64.401	61.749
14	0.973	1.071	65.341	63.271
15	0.948	1.028	66.468	64.643
16	0.930	1.007	67.147	66.176
17	0.897	1.057	68.141	64.633
18	0.887	0.991	68.640	66.867
19	0.865	1.066	69.319	66.056
20	0.853	1.023	70.062	66.787
21	0.835	0.930	70.449	68.630
22	0.819	1.025	71.106	67.929
23	0.802	0.951	71.755	68.209
24	0.795	0.993	71.931	67.117
25	0.783	0.973	72.292	68.199
26	0.768	1.112	72.606	65.715
27	0.758	0.968	73.079	67.959
28	0.747	0.882	73.554	70.543
29	0.740	0.892	73.826	69.371
30	0.727	0.868	74.485	71.124
31	0.719	0.996	74.816	67.849
32	0.711	0.805	74.888	72.456
33	0.702	0.849	75.455	71.124
34	0.694	0.881	75.583	71.595
35	0.681	0.778	76.132	74.089
36	0.672	0.897	76.577	70.042
37	0.661	0.829	76.959	72.536
38	0.654	0.897	77.033	70.062
39	0.659	0.717	76.855	75.501
40	0.643	0.729	77.568	75.240
41	0.643	0.701	77.384	75.621
42	0.631	0.817	77.857	73.327
43	0.629	0.734	77.975	74.980
44	0.619	0.735	78.225	74.880
45	0.628	0.928	77.949	69.191
46	0.617	0.685	78.450	77.093
47	0.619	0.735	78.343	75.040
48	0.606	0.687	78.940	76.132
49	0.605	0.746	78.726	75.160
50	0.608	0.754	78.822	73.958
51	0.601	0.730	79.251	75.711
52	0.592	0.634	79.395	78.065
53	0.592	0.637	79.377	77.614
54	0.589	0.738	79.423	75.150
55	0.582	0.685	79.752	77.704
56	0.590	0.601	79.569	78.876
57	0.578	0.691	79.838	76.803
58	0.582	0.644	79.762	78.075
59	0.574	0.809	80.132	72.646
60	0.576	0.676	79.960	77.083
61	0.571	0.785	80.098	73.898
62	0.565	0.718	80.234	75.561
63	0.560	0.706	80.443	75.962
64	0.567	0.723	80.230	75.972
65	0.563	0.662	80.244	77.494
66	0.555	0.889	80.673	70.312
67	0.558	0.722	80.589	75.711
68	0.555	0.646	80.525	78.245
69	0.550	0.685	80.970	77.594
70	0.543	0.791	80.986	73.728
71	0.548	0.796	80.974	74.339
72	0.550	0.736	80.865	76.052
