Namespace(arch='vgg_small_1w1a', workers=4, epochs=1000, warm_up_epochs=16, start_epoch=0, batch_size=256, lr=0.1, momentum=0.9, weight_decay=0.0001, num_classes=10, seed=2023, dynamic_range=[0.8, 0.0], resume='', evaluate=False, save_dir='saveModel-004', print_freq=200, save_every=200)
Epoch	train_loss	val_loss	train_acc	val_acc	
0	1.850	1.572	37.796	48.227
1	1.894	1.691	45.415	53.155
2	2.199	2.146	49.940	55.940
3	2.586	2.205	53.650	61.278
4	2.744	2.674	57.390	62.710
5	2.725	2.705	61.176	65.194
6	2.657	2.749	63.624	67.318
7	2.548	2.573	65.595	68.409
8	2.524	2.947	66.484	66.156
9	2.465	2.591	67.055	69.822
10	2.301	2.746	68.640	69.141
11	2.072	2.622	69.675	68.710
12	1.807	1.945	70.897	73.157
13	1.545	2.130	72.380	72.516
14	1.358	2.614	73.431	70.423
15	1.133	1.682	74.856	74.319
16	1.004	1.528	75.903	74.730
17	0.852	1.176	77.644	76.893
18	0.704	0.870	79.675	78.886
19	0.630	0.892	81.198	79.257
20	0.545	1.003	82.879	78.796
21	0.527	0.845	82.913	80.639
22	0.487	0.990	83.946	78.886
23	0.457	0.838	84.655	80.539
24	0.436	0.755	85.144	80.689
25	0.419	0.721	85.653	80.829
26	0.401	0.605	86.252	83.173
27	0.381	0.639	86.919	82.923
28	0.372	0.723	87.141	82.031
29	0.359	0.776	87.438	81.921
30	0.358	0.863	87.460	80.339
31	0.347	0.718	87.871	81.711
32	0.336	0.596	88.129	84.135
33	0.333	0.663	88.415	82.893
34	0.321	0.609	88.556	83.794
35	0.321	0.563	88.660	84.145
36	0.311	0.565	89.129	84.505
37	0.301	0.567	89.433	84.756
38	0.302	0.612	89.457	83.433
39	0.296	0.583	89.505	84.105
40	0.288	0.705	89.882	82.081
41	0.284	0.623	89.896	84.115
42	0.282	0.713	90.200	82.512
43	0.274	0.584	90.365	84.345
44	0.270	0.598	90.619	84.325
45	0.271	0.631	90.431	83.784
46	0.269	0.675	90.503	81.961
47	0.260	0.672	90.817	83.724
48	0.262	0.601	90.693	84.395
49	0.257	0.778	90.990	81.490
50	0.249	0.531	91.146	85.106
51	0.254	0.575	91.060	84.706
52	0.241	0.524	91.504	85.817
53	0.240	0.499	91.571	85.797
54	0.241	0.517	91.490	85.507
55	0.233	0.506	91.773	85.747
56	0.238	0.572	91.637	84.946
57	0.237	0.674	91.569	82.883
58	0.222	0.467	92.151	86.699
59	0.223	0.517	92.107	85.276
60	0.219	0.559	92.260	84.355
61	0.218	0.475	92.322	86.078
62	0.218	0.625	92.250	84.335
63	0.220	0.482	92.228	86.569
64	0.218	0.489	92.366	86.038
65	0.210	0.509	92.644	86.058
66	0.205	0.486	92.678	86.599
67	0.209	0.558	92.624	85.417
68	0.207	0.562	92.750	85.647
69	0.205	0.496	92.658	85.817
70	0.203	0.438	92.831	87.290
71	0.198	0.489	93.069	86.198
72	0.204	0.442	92.760	86.609
73	0.199	0.454	92.875	86.739
74	0.201	0.489	93.009	85.347
75	0.190	0.450	93.373	87.059
76	0.190	0.493	93.297	86.729
77	0.191	0.431	93.169	87.430
78	0.188	0.443	93.259	87.310
79	0.184	0.467	93.405	86.619
80	0.184	0.450	93.456	87.250
81	0.184	0.420	93.405	86.779
82	0.179	0.450	93.574	86.759
83	0.182	0.419	93.492	87.320
84	0.178	0.400	93.764	87.620
85	0.174	0.499	93.826	85.707
86	0.177	0.458	93.698	87.119
87	0.174	0.426	93.724	87.310
88	0.171	0.439	93.902	87.129
89	0.177	0.487	93.772	86.989
90	0.175	0.450	93.824	87.360
91	0.174	0.527	93.814	86.619
92	0.166	0.470	94.065	87.390
93	0.167	0.439	94.161	86.819
94	0.173	0.414	93.852	87.790
95	0.165	0.463	94.137	87.210
96	0.166	0.412	94.187	87.760
97	0.156	0.440	94.395	87.380
98	0.165	0.461	94.235	87.029
99	0.161	0.431	94.227	87.320
100	0.159	0.457	94.297	86.228
101	0.157	0.446	94.439	86.879
102	0.154	0.444	94.449	87.941
103	0.158	0.457	94.411	87.550
104	0.157	0.431	94.433	87.400
105	0.153	0.403	94.565	88.041
106	0.155	0.436	94.399	87.720
107	0.158	0.397	94.435	88.101
108	0.153	0.435	94.497	87.039
109	0.150	0.405	94.698	87.450
110	0.156	0.456	94.389	86.458
111	0.149	0.421	94.744	87.911
112	0.148	0.437	94.744	88.071
113	0.151	0.463	94.643	87.270
114	0.155	0.443	94.615	87.470
115	0.150	0.456	94.615	86.589
116	0.150	0.437	94.718	87.169
117	0.147	0.467	94.774	87.089
118	0.146	0.465	94.778	86.558
119	0.143	0.438	94.994	87.220
120	0.145	0.473	94.822	87.240
121	0.139	0.457	95.072	87.400
122	0.144	0.458	95.012	87.620
123	0.137	0.417	95.132	87.500
124	0.139	0.458	95.082	87.280
125	0.137	0.417	95.200	88.592
126	0.144	0.437	94.864	86.759
127	0.143	0.424	94.914	87.109
128	0.137	0.435	95.162	87.660
129	0.136	0.420	95.341	88.081
130	0.135	0.400	95.160	87.740
131	0.134	0.434	95.204	87.149
132	0.143	0.418	94.958	88.622
133	0.131	0.432	95.435	87.019
134	0.136	0.406	95.104	87.650
135	0.137	0.457	95.142	87.510
136	0.139	0.544	95.090	86.168
137	0.138	0.440	95.136	88.021
138	0.136	0.542	95.200	86.178
139	0.133	0.522	95.258	86.689
140	0.135	0.427	95.212	87.410
141	0.132	0.437	95.341	87.811
142	0.132	0.396	95.311	88.321
143	0.128	0.475	95.513	86.899
144	0.129	0.428	95.457	87.410
145	0.129	0.400	95.415	87.961
146	0.127	0.471	95.451	87.380
147	0.128	0.503	95.431	87.370
148	0.132	0.430	95.288	87.780
149	0.124	0.416	95.581	88.762
150	0.124	0.449	95.583	88.411
151	0.124	0.428	95.613	87.901
152	0.130	0.435	95.477	88.081
153	0.127	0.521	95.515	86.849
154	0.126	0.472	95.573	87.149
155	0.128	0.450	95.479	86.629
156	0.123	0.448	95.589	88.291
157	0.119	0.412	95.751	88.241
158	0.119	0.479	95.775	87.580
159	0.117	0.451	95.821	87.620
160	0.127	0.457	95.475	87.580
161	0.120	0.421	95.793	88.091
162	0.121	0.476	95.669	87.831
163	0.122	0.394	95.587	88.742
164	0.117	0.468	95.825	87.430
165	0.114	0.477	95.940	87.530
166	0.120	0.466	95.721	87.129
167	0.120	0.414	95.793	88.462
168	0.116	0.412	95.765	87.811
169	0.114	0.454	95.998	87.600
170	0.111	0.420	96.054	88.442
171	0.112	0.457	96.080	88.141
172	0.112	0.391	96.038	88.632
173	0.116	0.470	95.915	86.599
174	0.114	0.432	95.980	88.101
175	0.116	0.442	95.861	88.051
176	0.111	0.461	96.100	88.642
177	0.114	0.536	95.988	86.849
178	0.111	0.404	96.118	88.051
179	0.114	0.462	95.968	87.390
180	0.111	0.461	96.054	88.331
181	0.118	0.473	95.783	87.690
182	0.112	0.407	96.012	88.431
183	0.107	0.432	96.316	88.191
184	0.115	0.455	95.936	86.058
185	0.111	0.427	96.014	87.580
186	0.111	0.384	96.032	88.682
187	0.114	0.442	96.034	87.240
188	0.115	0.459	95.966	87.440
189	0.119	0.422	95.743	88.962
190	0.110	0.401	96.106	88.522
191	0.108	0.414	96.246	87.841
192	0.111	0.432	95.970	88.782
193	0.111	0.419	96.064	88.131
194	0.115	0.513	95.895	86.749
195	0.108	0.494	96.194	87.580
196	0.102	0.456	96.428	87.750
197	0.113	0.467	96.002	87.530
198	0.112	0.514	96.008	86.278
199	0.109	0.481	96.114	86.368
200	0.110	0.435	96.100	88.091
201	0.113	0.462	96.054	87.350
202	0.109	0.414	96.098	87.991
203	0.109	0.438	96.114	87.560
204	0.103	0.511	96.408	85.757
205	0.108	0.413	96.196	87.941
206	0.106	0.494	96.204	87.510
207	0.109	0.532	96.156	86.909
208	0.111	0.514	96.036	87.300
209	0.114	0.453	95.998	86.629
210	0.105	0.401	96.300	87.981
211	0.107	0.394	96.078	87.961
212	0.106	0.507	96.210	86.368
213	0.106	0.492	96.292	86.999
214	0.103	0.405	96.414	87.881
215	0.104	0.416	96.352	87.931
216	0.103	0.432	96.486	87.941
217	0.102	0.400	96.420	87.740
218	0.102	0.526	96.414	86.659
219	0.108	0.429	96.178	87.290
220	0.105	0.457	96.240	86.839
221	0.104	0.482	96.286	86.859
222	0.108	0.435	96.176	87.921
223	0.099	0.441	96.520	87.800
224	0.102	0.428	96.364	88.582
225	0.108	0.466	96.112	87.350
226	0.105	0.420	96.262	88.211
227	0.097	0.435	96.562	88.482
228	0.099	0.513	96.462	87.380
229	0.101	0.447	96.460	86.949
230	0.105	0.445	96.330	88.442
231	0.100	0.512	96.506	87.390
232	0.096	0.545	96.577	84.535
233	0.099	0.407	96.510	88.401
234	0.098	0.445	96.536	88.311
235	0.099	0.392	96.538	88.932
236	0.100	0.445	96.518	87.881
237	0.097	0.427	96.569	88.241
238	0.099	0.411	96.386	88.151
239	0.099	0.390	96.438	88.722
240	0.100	0.421	96.430	87.740
241	0.099	0.465	96.544	87.400
242	0.100	0.475	96.414	86.859
243	0.097	0.535	96.573	85.827
244	0.097	0.475	96.597	87.730
245	0.100	0.536	96.360	86.408
246	0.097	0.418	96.667	87.600
247	0.095	0.440	96.687	88.091
248	0.097	0.412	96.486	87.991
249	0.095	0.422	96.679	87.710
250	0.092	0.449	96.793	88.482
251	0.095	1.060	96.705	75.791
252	0.093	0.435	96.783	88.411
253	0.089	0.440	96.887	88.782
254	0.090	0.438	96.915	87.680
255	0.093	0.459	96.665	87.560
256	0.088	0.453	96.935	87.610
257	0.090	0.450	96.843	87.340
258	0.095	0.415	96.665	87.901
259	0.087	0.423	96.989	88.672
260	0.095	0.405	96.617	88.221
261	0.091	0.474	96.797	87.179
262	0.095	0.471	96.707	88.311
263	0.091	0.477	96.829	87.109
264	0.089	0.497	96.855	87.881
265	0.094	0.433	96.699	88.021
266	0.090	0.504	96.897	86.188
267	0.087	0.461	96.949	87.750
268	0.089	0.458	96.901	87.560
269	0.091	0.435	96.759	88.361
270	0.086	0.450	97.037	88.371
271	0.083	0.416	97.135	88.612
272	0.087	0.516	97.055	87.230
273	0.092	0.450	96.791	86.659
274	0.089	0.480	96.853	87.510
275	0.085	0.396	97.037	88.872
276	0.087	0.488	96.947	86.318
277	0.084	0.435	97.087	87.430
278	0.084	0.509	97.005	85.597
279	0.092	0.481	96.727	87.159
280	0.088	0.407	96.919	88.442
281	0.084	0.467	97.083	87.059
282	0.080	0.384	97.264	89.463
283	0.083	0.426	97.033	88.401
284	0.084	0.655	97.121	85.697
285	0.085	0.473	97.069	87.600
286	0.090	0.493	96.933	86.118
287	0.081	0.442	97.111	87.730
288	0.087	0.430	96.947	88.001
289	0.087	0.396	96.983	88.161
290	0.087	0.418	97.047	87.640
291	0.087	0.447	97.045	87.630
292	0.084	0.527	97.117	86.358
293	0.082	0.402	97.228	88.081
294	0.079	0.441	97.216	87.881
295	0.083	0.437	97.101	88.582
296	0.082	0.455	97.183	88.492
297	0.083	0.495	97.151	87.770
298	0.084	0.473	97.109	86.518
299	0.081	0.490	97.194	86.048
