Namespace(arch='vgg_small_1w1a', workers=4, epochs=1000, warm_up_epochs=16, start_epoch=0, batch_size=256, lr=0.1, momentum=0.9, weight_decay=0.0001, num_classes=10, seed=2023, dynamic_range=[0.8, 0.0], resume='', evaluate=False, save_dir='saveModel-00base', print_freq=200, save_every=200)
Epoch	train_loss	val_loss	train_acc	val_acc	
0	2.008	1.857	33.053	38.331
1	2.309	2.281	32.897	36.158
2	2.987	3.047	31.556	36.078
3	3.776	3.629	32.240	37.790
4	4.409	4.299	34.097	39.353
5	4.708	4.586	37.001	39.423
6	4.793	4.249	39.395	44.411
7	4.605	4.065	42.318	47.015
8	4.169	3.478	45.451	49.990
9	3.565	2.925	48.498	52.885
10	2.937	2.470	51.026	55.649
11	2.348	1.892	54.173	58.574
12	1.893	1.497	57.073	61.348
13	1.549	1.317	59.714	64.153
14	1.301	1.144	62.426	65.515
15	1.124	1.021	64.858	67.909
16	1.004	0.876	66.763	70.573
17	0.926	0.868	68.313	70.593
18	0.854	0.792	70.238	72.706
19	0.811	0.765	71.663	73.808
20	0.785	0.758	72.518	73.818
21	0.768	0.722	73.021	75.030
22	0.747	0.719	73.810	75.160
23	0.726	0.692	74.501	76.122
24	0.718	0.681	74.553	76.242
25	0.698	0.685	75.441	76.472
26	0.680	0.686	76.208	76.522
27	0.673	0.691	76.332	75.541
28	0.668	0.646	76.673	77.734
29	0.657	0.647	76.785	77.955
30	0.647	0.647	77.278	77.264
31	0.639	0.652	77.550	77.234
32	0.624	0.623	78.149	78.536
33	0.617	0.603	78.225	79.297
34	0.609	0.601	78.584	78.936
35	0.598	0.605	78.914	79.177
36	0.595	0.622	79.197	78.716
37	0.583	0.598	79.593	79.467
38	0.579	0.607	79.673	79.397
39	0.568	0.596	79.948	79.307
40	0.569	0.589	80.068	79.768
41	0.560	0.575	80.262	80.699
42	0.551	0.562	80.677	80.799
43	0.548	0.598	80.805	79.768
44	0.540	0.571	81.098	80.619
45	0.541	0.563	80.984	80.719
46	0.532	0.573	81.178	80.559
47	0.525	0.563	81.556	80.950
48	0.523	0.561	81.629	80.469
49	0.519	0.543	81.689	81.430
50	0.510	0.571	81.891	80.419
51	0.509	0.551	82.192	80.749
52	0.501	0.531	82.370	82.262
53	0.496	0.518	82.488	82.382
54	0.488	0.542	82.750	81.641
55	0.489	0.544	82.806	82.021
56	0.479	0.528	83.127	82.212
57	0.476	0.547	83.309	81.240
58	0.471	0.528	83.429	81.851
59	0.471	0.520	83.213	82.352
60	0.459	0.526	84.075	82.031
61	0.456	0.542	83.906	81.621
62	0.459	0.511	83.844	82.913
63	0.454	0.520	83.900	82.823
64	0.448	0.524	84.305	82.212
65	0.443	0.502	84.301	83.273
66	0.445	0.531	84.271	81.811
67	0.433	0.509	84.822	83.123
68	0.429	0.506	84.754	82.823
69	0.434	0.514	84.579	83.153
70	0.425	0.506	85.040	82.883
71	0.424	0.496	84.920	83.373
72	0.416	0.489	85.523	83.624
73	0.414	0.496	85.515	83.524
74	0.418	0.503	85.345	83.003
75	0.409	0.519	85.493	83.273
76	0.406	0.504	85.615	83.293
77	0.406	0.507	85.591	83.263
78	0.399	0.518	85.929	82.993
79	0.395	0.489	86.064	84.115
80	0.392	0.487	86.170	83.594
81	0.388	0.475	86.368	84.395
82	0.387	0.479	86.436	83.874
83	0.390	0.480	86.300	84.285
84	0.380	0.501	86.689	83.093
85	0.376	0.474	86.875	84.405
86	0.378	0.483	86.609	84.034
87	0.369	0.487	86.891	84.285
88	0.374	0.480	86.989	84.395
89	0.370	0.472	86.869	84.605
90	0.365	0.480	87.089	84.265
91	0.364	0.495	87.031	83.764
92	0.360	0.496	87.384	83.804
93	0.357	0.479	87.400	84.425
94	0.355	0.476	87.414	84.555
95	0.356	0.468	87.260	85.106
96	0.349	0.480	87.568	84.255
97	0.349	0.454	87.636	84.686
98	0.345	0.468	87.674	85.026
99	0.343	0.467	87.947	85.066
100	0.340	0.508	87.979	84.135
101	0.344	0.470	87.714	84.746
102	0.338	0.458	88.021	85.587
103	0.343	0.477	87.907	84.365
104	0.328	0.473	88.255	84.796
105	0.327	0.452	88.431	85.337
106	0.323	0.481	88.628	84.455
107	0.325	0.445	88.548	85.867
108	0.323	0.471	88.644	84.866
109	0.317	0.467	88.806	84.956
110	0.319	0.472	88.712	84.716
111	0.323	0.528	88.586	83.363
112	0.321	0.470	88.550	84.806
113	0.317	0.465	88.636	85.407
114	0.320	0.464	88.472	84.946
115	0.313	0.482	88.842	84.766
116	0.310	0.473	88.940	84.405
117	0.312	0.455	88.804	85.777
118	0.307	0.472	89.229	84.555
119	0.305	0.451	89.077	85.667
120	0.305	0.457	89.223	85.577
121	0.304	0.458	89.315	85.527
122	0.307	0.464	89.050	85.146
123	0.301	0.463	89.389	84.675
124	0.296	0.477	89.515	85.006
125	0.297	0.463	89.515	84.956
126	0.298	0.459	89.443	85.296
127	0.291	0.444	89.609	85.527
128	0.293	0.451	89.575	85.477
129	0.295	0.442	89.413	85.737
130	0.291	0.445	89.696	86.148
131	0.289	0.436	89.766	85.507
132	0.291	0.458	89.595	85.647
133	0.281	0.445	89.886	85.777
134	0.281	0.449	90.072	86.058
135	0.283	0.461	89.880	85.367
136	0.281	0.455	90.024	85.727
137	0.279	0.451	90.006	85.507
138	0.284	0.466	89.976	84.906
139	0.282	0.457	90.022	85.607
140	0.273	0.438	90.238	86.128
141	0.280	0.437	90.080	86.018
142	0.277	0.461	90.094	85.547
143	0.270	0.469	90.455	85.597
144	0.273	0.458	90.146	85.357
145	0.273	0.443	90.331	85.487
146	0.265	0.446	90.483	85.867
147	0.269	0.445	90.280	84.976
148	0.271	0.438	90.341	86.078
149	0.266	0.444	90.629	86.058
150	0.265	0.457	90.499	85.807
151	0.258	0.454	90.857	85.757
152	0.265	0.450	90.577	85.998
153	0.269	0.442	90.407	86.268
154	0.266	0.429	90.629	86.418
155	0.270	0.471	90.483	85.226
156	0.257	0.442	90.745	85.697
157	0.257	0.441	90.940	86.488
158	0.257	0.460	90.771	86.078
159	0.261	0.489	90.683	84.866
160	0.255	0.446	90.799	86.148
161	0.252	0.452	90.998	86.198
162	0.253	0.455	91.122	85.757
163	0.254	0.436	90.968	86.358
164	0.249	0.432	91.096	87.069
165	0.246	0.427	91.238	86.609
166	0.251	0.448	90.986	86.518
167	0.244	0.452	91.388	86.308
168	0.240	0.467	91.334	85.988
169	0.248	0.455	91.228	86.218
170	0.246	0.440	91.128	86.589
171	0.243	0.462	91.278	85.998
172	0.239	0.445	91.567	86.548
173	0.246	0.467	91.184	85.727
174	0.248	0.437	91.238	86.328
175	0.244	0.456	91.372	85.797
176	0.243	0.474	91.318	85.377
177	0.239	0.459	91.565	85.867
178	0.244	0.463	91.258	85.457
179	0.233	0.435	91.761	86.629
180	0.245	0.436	91.254	86.438
181	0.235	0.445	91.665	86.248
182	0.236	0.448	91.647	86.108
183	0.235	0.446	91.550	86.428
184	0.233	0.445	91.691	86.619
185	0.228	0.432	91.789	86.468
186	0.229	0.456	91.821	85.927
187	0.236	0.449	91.639	86.448
188	0.232	0.437	91.611	86.468
189	0.236	0.458	91.625	86.418
190	0.230	0.431	91.751	86.839
191	0.231	0.461	91.803	86.008
192	0.236	0.465	91.462	86.108
193	0.232	0.451	91.819	86.318
194	0.236	0.455	91.552	85.537
195	0.218	0.439	92.210	86.829
196	0.225	0.469	92.005	85.847
197	0.222	0.440	92.081	86.849
198	0.226	0.430	91.913	86.669
199	0.224	0.457	91.959	86.348
200	0.225	0.457	91.939	85.927
201	0.219	0.442	92.103	86.969
202	0.221	0.445	92.161	86.488
203	0.228	0.469	91.897	86.158
204	0.220	0.447	92.149	85.827
205	0.227	0.453	91.895	86.168
206	0.223	0.444	91.987	86.248
207	0.226	0.441	91.977	86.428
208	0.221	0.451	92.071	86.769
209	0.221	0.463	92.121	86.208
210	0.225	0.437	92.003	86.649
211	0.220	0.453	92.155	85.917
212	0.224	0.442	92.047	86.418
213	0.218	0.480	92.192	84.946
214	0.217	0.460	92.234	85.817
215	0.210	0.463	92.608	86.528
216	0.222	0.454	92.005	86.438
217	0.216	0.452	92.196	86.589
218	0.229	0.460	91.911	85.687
219	0.218	0.442	92.188	86.528
220	0.211	0.454	92.490	86.128
221	0.211	0.458	92.618	86.018
222	0.215	0.434	92.468	86.498
223	0.206	0.492	92.604	85.787
224	0.221	0.490	92.069	85.697
225	0.218	0.473	92.260	85.867
226	0.217	0.455	92.186	86.098
227	0.210	0.431	92.608	86.859
228	0.218	0.459	92.294	86.368
229	0.213	0.423	92.400	86.959
230	0.207	0.475	92.722	85.827
231	0.217	0.461	92.246	85.607
232	0.208	0.472	92.560	85.827
233	0.221	0.520	92.155	85.016
234	0.213	0.447	92.464	86.238
235	0.208	0.458	92.628	86.048
236	0.207	0.455	92.616	86.318
237	0.208	0.511	92.544	85.066
238	0.209	0.459	92.490	86.538
239	0.202	0.437	92.903	86.939
240	0.210	0.458	92.624	86.478
241	0.205	0.452	92.756	86.098
242	0.208	0.459	92.590	86.749
243	0.208	0.452	92.614	86.438
244	0.207	0.438	92.640	86.769
245	0.200	0.433	92.947	87.149
246	0.212	0.459	92.564	86.128
247	0.195	0.467	93.023	85.897
248	0.198	0.444	92.949	86.729
249	0.204	0.454	92.716	86.749
250	0.203	0.415	92.732	87.119
251	0.201	0.412	92.911	87.330
